name,mode,status,node_count,depth,nonlinear_nodes,eml_nodes,unique_subexpressions,weighted_cost
cubic,strict,domain_error,,,,,,
cubic,relaxed,invalid_eml_used_baseline,11,4,0,0,8,9
square,strict,ok,15,6,2,2,13,15
square,relaxed,ok,15,6,2,2,13,15
cube,strict,ok,15,6,2,2,13,15
cube,relaxed,ok,15,6,2,2,13,15
rational,strict,domain_error,,,,,,
rational,relaxed,invalid_eml_used_baseline,10,5,0,0,9,10
exp_sum,strict,domain_error,,,,,,
exp_sum,relaxed,invalid_eml_used_baseline,7,3,2,0,6,7
exp_log_identity,strict,ok,3,1,0,0,3,1
exp_log_identity,relaxed,ok,3,1,0,0,3,1
log_sum,strict,ok,16,4,2,2,13,13
log_sum,relaxed,ok,16,4,2,2,13,13
cubic_shifted,strict,ok,19,7,2,2,15,17
cubic_shifted,relaxed,ok,19,7,2,2,15,17
x_exp_x,strict,domain_error,,,,,,
x_exp_x,relaxed,invalid_eml_used_baseline,4,2,1,0,3,4
exp_log_product,strict,domain_error,,,,,,
exp_log_product,relaxed,invalid_eml_used_baseline,7,4,2,0,6,7
log_of_product,strict,domain_error,,,,,,
log_of_product,relaxed,invalid_eml_used_baseline,8,3,1,0,7,6
sqrt_via_pow,strict,other_error,,,,,,
sqrt_via_pow,relaxed,other_error,,,,,,
log_square,strict,ok,29,9,4,4,19,27
log_square,relaxed,ok,29,9,4,4,19,27
division,strict,domain_error,,,,,,
division,relaxed,invalid_eml_used_baseline,9,3,0,0,8,7
log_of_exp_plus_one,strict,ok,11,5,2,2,9,10
log_of_exp_plus_one,relaxed,ok,11,5,2,2,9,10
negative_power,strict,ok,13,5,2,2,11,13
negative_power,relaxed,ok,13,5,2,2,11,13
log_of_quad,strict,ok,23,10,3,3,18,22
log_of_quad,relaxed,ok,23,10,3,3,18,22
exp_times_log,strict,domain_error,,,,,,
exp_times_log,relaxed,invalid_eml_used_baseline,7,3,2,0,6,7
mixed_power,strict,other_error,,,,,,
mixed_power,relaxed,other_error,,,,,,
gaussian,strict,domain_error,,,,,,
gaussian,relaxed,invalid_eml_used_baseline,7,4,1,0,7,8
log_of_exp,strict,ok,11,5,2,2,10,10
log_of_exp,relaxed,ok,11,5,2,2,10,10
power_times_exp,strict,domain_error,,,,,,
power_times_exp,relaxed,invalid_eml_used_baseline,7,3,1,0,6,8
log_abs,strict,ok,8,4,1,1,8,7
log_abs,relaxed,ok,8,4,1,1,8,7
