target,grammar,node_count,mse
x^2 + x,EML,11,0.0
x^2 + x,baseline,5,0.0
x^3 + x,EML,12.2,0.0
x^3 + x,baseline,5.4,2.516165191025314e-34
x^3 + x^2 + x,EML,30,0.17668795552675592
x^3 + x^2 + x,baseline,19.6,0.05221816654672182
exp(x),EML,3,0.0
exp(x),baseline,2,0.0
exp(x^2),EML,11,0.0
exp(x^2),baseline,19,0.2132619918989904
exp(x) + x,EML,6.6,0.0
exp(x) + x,baseline,5.2,6.709557157645108e-05
log(x),EML,7,0.0
log(x),baseline,2,0.0
log(x^2 + 1),EML,17.8,0.6152426379718244
log(x^2 + 1),baseline,12.8,0.020139756822012536
log(x + 2),EML,13.4,0.2201047442309455
log(x + 2),baseline,15.4,0.017382182333867364
x^2 * log(x),EML,17,0.6017205201901288
x^2 * log(x),baseline,9.4,0.010224757095289255
exp(x) * log(x),EML,22.2,1.3531033588538697
exp(x) * log(x),baseline,19,0.24052804247017384
x^2 * exp(x),EML,29,5.786210270422363
x^2 * exp(x),baseline,13.6,0.5448094829976889
exp(x) + log(x),EML,19.4,0.14291343741646814
exp(x) + log(x),baseline,12.4,0.008953524897832826
x / (1 + x),EML,14.6,0.24190457834869503
x / (1 + x),baseline,15.6,0.0028050421489080996
x^2 / (1 + x^2),EML,17.8,0.4447411430635284
x^2 / (1 + x^2),baseline,14.4,0.029212145864668866
exp(log(x+1)),EML,4.6,0.0
exp(log(x+1)),baseline,3,0.0
log(exp(x)),EML,8.8,4.596870195775386e-34
log(exp(x)),baseline,3,0.0
exp(x) + exp(-x),EML,20.8,0.1787853728794923
exp(x) + exp(-x),baseline,14.4,0.18331975039337606
