target,eml_mse_mean,eml_mse_std,base_mse_mean,base_mse_std,eml_nodes_mean,eml_nodes_std,base_nodes_mean,base_nodes_std,eml_depth_mean,eml_depth_std,base_depth_mean,base_depth_std,eml_generations_mean,eml_generations_std,base_generations_mean,base_generations_std,eml_rejection_rate_pct,eml_rejection_rate_std,base_rejection_rate_pct,base_rejection_rate_std,eml_accepted_mean,base_accepted_mean,eml_domain_mean,base_domain_mean,eml_depth_rej_mean,base_depth_rej_mean,eml_numeric_mean,base_numeric_mean
x^2 + x,0.0,0.0,0.0,0.0,11,0.0,5,0.0,5,0.0,2,0.0,6,0.0,17.6,0.5477225575051661,72.85,1.769798717368732,18.815,1.6908392886374506,540.2,1526.4,15.2,148,2597.4,59,301.4,545.6
x^3 + x,0.0,0.0,2.516165191025314e-34,5.6263164097513455e-34,12.2,2.6832815729997477,5.4,0.8944271909999159,5,0.0,2.4,0.8944271909999159,5.6,0.5477225575051661,17,0.0,72.77,1.8383416439824225,19.405,0.7034291009049881,540.8,1523.8,2.8,92,2598.4,46.8,309.6,637.4
x^3 + x^2 + x,0.17668795552675592,0.19658656200728084,0.05221816654672182,0.016704174050632407,30,20.457272545478784,19.6,4.159326868617084,5.6,0.5477225575051661,4.6,1.51657508881031,6,0.0,16.8,0.8366600265340756,72.645,1.6712083951440648,21.275,3.125049999600007,541.6,1476.6,15.4,145.4,2593.2,162.4,297.2,543.2
exp(x),0.0,0.0,0.0,0.0,3,0.0,2,0.0,1,0.0,1,0.0,4.6,0.5477225575051661,14.2,0.4472135954999579,77.035,1.947562579225633,33.835,1.128688398097543,458.6,1240.2,5,64.4,2647,28.8,429.4,1260.2
exp(x^2),0.0,0.0,0.2132619918989904,0.1523468159610675,11,0.0,19,6.2048368229954285,5,0.0,4.2,0.8366600265340756,4.4,0.5477225575051661,13.8,1.3038404810405297,78.145,1.8833480825381144,35.665,4.633188696783242,437.4,1219.6,11.6,91,2696.4,174.8,417.8,1160.8
exp(x) + x,0.0,0.0,6.709557157645108e-05,0.00015002174536159525,6.6,3.5777087639996634,5.2,1.7888543819998317,2.8,1.7888543819998317,2.2,0.4472135954999579,4.2,0.4472135954999579,15.6,0.5477225575051661,78.55499999999999,1.6839685270218103,27.235,0.9237491542621296,437.8,1373.6,74.2,395.6,2722.6,48.2,345.4,645.6
log(x),0.0,0.0,0.0,0.0,7,0.0,2,0.0,3,0.0,1,0.0,5.4,0.5477225575051661,17.4,0.5477225575051661,73.12,1.963526801446823,19.62,0.9439610691124923,535.2,1511,14.2,154,2600.6,66.4,310,564.4
log(x^2 + 1),0.6152426379718244,0.2298090043788274,0.020139756822012536,0.028749524078144996,17.8,5.974947698515862,12.8,6.300793600809346,5.4,0.8944271909999159,4.4,1.51657508881031,4.2,0.4472135954999579,12.2,1.7888543819998317,79.035,1.6523279032928055,42.535,7.1089863904779,418.6,1095.8,4.2,64.8,2720.8,402.2,436.4,1234.4
log(x + 2),0.2201047442309455,0.2217622298936244,0.017382182333867364,0.029093579310133004,13.4,9.939818911831342,15.4,7.503332592921628,4.2,2.4899799195977463,4.4,1.816590212458495,5,0.0,12,3.5355339059327378,75.38,0.6847444778893813,44.265,15.568283062046373,484.8,1061.8,3.8,57.8,2590.8,499.2,420.6,1213.6
x^2 * log(x),0.6017205201901288,0.2179220337279301,0.010224757095289255,0.02286325191849007,17,7.314369419163897,9.4,4.774934554525329,5,1.0,2.8,1.0954451150103321,5.6,0.5477225575051661,17.4,0.8944271909999159,73.26,2.0751957738970046,20.095,3.7074839851306165,527.4,1497.8,15.6,146.2,2613.6,117.6,301.2,540
